Market,R1,R2,R3,R4
-0.00392,-0.00357,-0.00483,0.002273,0.029586
0.014573,-0.00896,0.004854,-0.00454,0.051724
1E-6,-0.00723,-0.03382,-0.01822,-0.03825
0.010288,-0.00911,-0.015,0.013921,-0.01136
0.000985,-0.00735,0.030457,0.002288,-0.01149
-0.00519,0,-0.00985,-0.00685,0.008721
0.004596,-0.00926,0.024876,0.018391,-0.00288
0.005437,0.024299,0.009709,0.009029,0.017341
-0.00003,0.014599,0.008462,-0.00224,0.005682
-0.0014,-0.00719,0.009615,0,0.011299
-0.00089,-0.00181,-0.00952,0,0.01676
-0.00848,-0.01815,-0.01442,-0.00448,-0.01648
-0.01219,-0.02403,-0.02927,-0.00676,-0.01397
0.005888,0.018939,0.025126,0.00907,0.033994
-0.00996,-0.01301,0.004902,-0.00225,-0.01096
0.00367,-0.02825,-0.01463,0.004505,0.01108
0.000463,0.027132,0.00495,-0.00224,0.016438
-0.00109,0.001887,0,-0.00225,0.002695
0.008134,0.003766,0.039409,0.022523,0.040323
0.011016,0.011257,0.023697,0.039648,0.018605
0.006093,0,0,-0.00848,-0.00512
-0.00198,-0.01299,0.00463,0,-0.02314
-0.00285,0,-0.00461,0.025641,0
0.0037,0.037594,0.023148,0.008333,0.010526
0.002607,-0.00362,0,-0.01653,0.013021
0.002442,0.007273,0.013575,-0.0042,0.002571
0.001049,0.001805,0.004464,0.004219,0.002564
-0.00114,0.014414,-0.00444,-0.0084,-0.00767
0.002559,0.026643,0.004464,0.033898,0.020619
0.001649,0.00519,0.013333,-0.0082,0
0.004782,0.005164,-0.01316,0.016529,0
0.000065,0.001712,-0.01778,0,0.005051
-0.00234,-0.01539,0.0181,0.012195,-0.00251
-0.00417,-0.00347,-0.00889,-0.00402,-0.00252
0.000298,0.008711,-0.00448,0.004032,-0.0101
0.002626,-0.00691,-0.02703,0,-0.00765
0.00063,0.008696,0,0.028112,0.023136
0.005459,-0.01207,0,-0.00391,-0.01256
-0.00281,-0.00873,-0.01389,-0.01569,0
0.002014,-0.00352,-0.02817,-0.01195,-0.00509
-0.00649,-0.0106,-0.01932,-0.02823,-0.00512
-0.00907,-0.01071,-0.00493,-0.01245,-0.01542
-0.00915,-0.01625,-0.0198,-0.03361,-0.00783
0.003572,0.014679,0.030303,0.008696,-0.00263
-0.00841,-0.00723,0.009804,-0.02155,-0.01583
-0.0138,-0.02004,-0.03398,-0.01322,-0.00268
0.008513,0.013011,-0.00503,0.049107,0.010753
-0.00244,0.00367,-0.0202,-0.01702,-0.01064
0.00377,0,0.015464,0.012987,-0.01613
-0.00472,-0.01243,0,-0.01282,0
0.004373,0.011257,0,-0.00866,0.019126
-0.00012,-0.00928,-0.01015,0.0131,0.008043
-0.00027,-0.00936,0.035897,0.00431,0.010638
0.004906,-0.01134,0.009901,0.008584,-0.00526
0.001847,0,-0.02451,-0.00426,-0.01058
-0.00255,-0.00191,0,-0.01282,-0.00802
0.000942,0.021073,0.020101,0.017316,0.010782
0.003698,-0.00188,0,0.012766,0.016
0.009659,0.00188,0.024631,0.016807,0.020997
0.001153,-0.01876,0.009615,0,0.005141
0.001979,0.022945,0.014286,0.004959,0.002558
-0.00233,-0.00374,-0.03286,-0.00415,-0.03061
-0.00503,-0.02814,-0.01456,-0.00833,-0.00263
0.001637,-0.00386,0.009852,0.012605,0.015831
0.000587,0.00969,0.004878,-0.01245,0
0.001732,0.015355,0.014563,0.021008,-0.01039
-0.0015,0.005671,-0.01914,-0.00412,0.005249
-0.00235,-0.00188,-0.00488,0.004132,-0.00783
0.002452,-0.00942,0.009804,0.028807,0.007895
0.00936,0.019011,0.029126,0.012,0.007833
0.00546,0.024254,0.004717,0.007905,-0.00777
0.001339,-0.01093,0.003568,-0.00784,-0.00522
0.000421,0,0,0.003953,-0.00525
-0.00482,0.001842,-0.01415,0.007874,-0.00528
-0.00297,0,0,-0.00391,0.002653
0.002191,-0.00184,-0.00479,0,0.002646
0.000843,-0.01105,0.004808,0,0.010554
